x1,x2
317,900.2666074624708 (tracked)
318,897.6571662783372 (tracked)
319,894.5962386605997 (tracked)
320,892.3594615635709 (tracked)
321,889.6044551935752 (tracked)
322,887.1776922760714 (tracked)
323,884.900641223621 (tracked)
324,882.3878181389864 (tracked)
325,879.8649587595888 (tracked)
326,876.8332329649587 (tracked)
327,874.401821331456 (tracked)
328,871.8998921254898 (tracked)
329,869.5588376425313 (tracked)
330,867.0476874504926 (tracked)
331,864.5198858845825 (tracked)
332,862.0923593493616 (tracked)
333,859.8030700880312 (tracked)
334,857.3889460367583 (tracked)
335,854.9818897775244 (tracked)
336,852.3849783419067 (tracked)
337,850.0014533556305 (tracked)
338,847.8437299910682 (tracked)
339,845.487554163808 (tracked)
340,843.1333021291732 (tracked)
341,840.809378025964 (tracked)
342,838.4770161951915 (tracked)
343,836.0169511224858 (tracked)
344,833.5674038436562 (tracked)
345,831.276723919399 (tracked)
346,828.9966456204978 (tracked)
347,826.7283709998002 (tracked)
348,824.5784020183215 (tracked)
349,822.2069487696006 (tracked)
350,820.0910521962261 (tracked)
351,817.8621848966047 (tracked)
352,815.5407346271046 (tracked)
353,813.6540781215159 (tracked)
354,811.461029587657 (tracked)
355,809.2758485613058 (tracked)
356,807.1078522341446 (tracked)
357,804.9429512617095 (tracked)
358,802.693126887616 (tracked)
359,800.584038268665 (tracked)
360,798.4181366058652 (tracked)
361,796.2934018917263 (tracked)
